time,latitude,longitude,CRW_DHW,CRW_SEAICE,CRW_SST,CRW_SSTANOMALY,CRW_SSTANOMALY_mask
1994-01-01T12:00:00Z,36.125,-124.775,0.0,nan,14.09,0.62,0
1994-01-01T12:00:00Z,42.625,-124.575,0.16,nan,11.05,0.63,0
1994-01-01T12:00:00Z,32.175,-122.325,0.0,nan,15.97,0.63,0
1994-01-01T12:00:00Z,35.875,-123.975,0.0,nan,13.89,0.64,0
1994-01-01T12:00:00Z,36.075,-124.225,0.0,nan,13.870000000000001,0.65,0
1994-01-01T12:00:00Z,35.575,-121.825,0.0,nan,14.15,0.7000000000000001,0
1994-01-01T12:00:00Z,32.975,-123.325,0.0,nan,15.68,0.7000000000000001,0
1994-01-01T12:00:00Z,36.825,-124.175,0.0,nan,13.61,0.71,0
1994-01-01T12:00:00Z,32.125,-119.725,0.0,nan,16.04,0.72,0
1994-01-01T12:00:00Z,36.275,-122.525,0.0,nan,13.72,0.74,0
1994-01-01T12:00:00Z,35.875,-121.825,0.0,nan,14.07,0.74,0
1994-01-01T12:00:00Z,35.325,-122.725,0.0,nan,14.13,0.75,0
1994-01-01T12:00:00Z,32.675,-123.675,0.0,nan,16.05,0.75,0
1994-01-01T12:00:00Z,33.975,-124.875,0.0,nan,15.41,0.77,0
1994-01-01T12:00:00Z,32.675,-121.975,0.0,nan,15.73,0.78,0
1994-01-01T12:00:00Z,41.375,-124.525,0.0,nan,11.83,0.79,0
1994-01-01T12:00:00Z,34.075,-124.175,0.0,nan,15.06,0.81,0
1994-01-01T12:00:00Z,35.575,-123.425,0.0,nan,14.040000000000001,0.81,0
1994-01-01T12:00:00Z,35.225,-121.425,0.15,nan,14.42,0.8200000000000001,0
1994-01-01T12:00:00Z,32.375,-121.875,0.0,nan,15.98,0.8200000000000001,0
1994-01-01T12:00:00Z,41.275,-124.675,0.0,nan,12.040000000000001,0.86,0
1994-01-01T12:00:00Z,34.825,-123.475,0.0,nan,14.64,0.9,0
1994-01-01T12:00:00Z,34.575,-124.125,0.0,nan,14.85,0.92,0
1994-01-01T12:00:00Z,34.225,-123.675,0.0,nan,15.09,1.01,0
1994-01-01T12:00:00Z,32.675,-123.075,0.0,nan,16.27,1.18,0
1994-01-01T12:00:00Z,34.625,-122.775,0.0,nan,15.09,1.21,0
1994-01-01T12:00:00Z,34.775,-124.825,0.0,nan,15.790000000000001,1.71,0
1994-01-01T12:00:00Z,47.725,-116.125,NaN,-1.28,NaN,NaN,1
1994-01-01T12:00:00Z,47.475,-118.775,NaN,-1.28,NaN,NaN,1
1994-01-01T12:00:00Z,45.175,-118.925,NaN,-1.28,NaN,NaN,1
1994-01-01T12:00:00Z,36.125,-118.825,NaN,-1.28,NaN,NaN,1
1994-01-01T12:00:00Z,42.675,-123.625,NaN,-1.28,NaN,NaN,1
1994-01-01T12:00:00Z,42.525,-120.575,NaN,-1.28,NaN,NaN,1
1994-01-01T12:00:00Z,41.075,-119.125,NaN,-1.28,NaN,NaN,1
1994-01-01T12:00:00Z,40.325,-121.775,NaN,-1.28,NaN,NaN,1
1994-01-01T12:00:00Z,45.725,-117.825,NaN,-1.28,NaN,NaN,1
